opponent,result,win,loss,margin,location,opponent rating
UT San Antonio,1,3,9,42,HOME,0.165020683687992
Michigan St,1,7,5,3,HOME,0.54056336082308
Oregon St,1,2,10,28,HOME,0.174579496694516
USC,1,5,7,3,AWAY,0.441600278939324
Utah,1,9,3,18,HOME,0.65995278082548
UCLA,1,3,9,3,HOME,0.282269089024105
Arizona,1,5,7,1,AWAY,0.429437883963719
San Diego St,0,7,5,7,AWAY,0.477646551055897
Washington,0,9,3,7,AWAY,0.666656511027918
Colorado,0,5,7,7,AWAY,0.351175682184439
Stanford,0,7,4,7,HOME,0.593038410318982
Oregon,0,8,4,2,AWAY,0.504878437524019
