opponent,result,win,loss,margin,location,opponent rating
FBS,1,7,103,35,HOME,0
Tulsa,1,3,9,23,HOME,0.254788875736296
Colorado St,0,3,9,7,AWAY,0.167672426119417
North Texas,0,9,3,27,HOME,0.563591552849468
Auburn,0,7,5,31,AWAY,0.593720560309067
Texas A&M,0,8,4,7,NEUTRAL,0.60781115063384
Alabama,0,12,0,34,HOME,1
Mississippi,0,5,7,4,HOME,0.442291325902439
Vanderbilt,0,6,6,14,HOME,0.536221903136869
LSU,0,9,3,7,HOME,0.72228053621915
Mississippi St,0,8,4,46,AWAY,0.695637471516196
Missouri,0,8,4,38,AWAY,0.708790850528775
