opponent,result,win,loss,margin,location,opponent rating
Washington,1,9,3,5,NEUTRAL,0.666656511027918
FBS,1,7,103,54,HOME,0
Arkansas,1,2,10,31,HOME,0.271152769992629
Southern Miss,1,6,5,11,HOME,0.350273368238856
Mississippi,1,5,7,15,AWAY,0.442291325902439
Texas A&M,1,8,4,4,HOME,0.60781115063384
Liberty,1,5,6,53,HOME,0.327960571678798
LSU,0,9,3,1,HOME,0.72228053621915
Mississippi St,0,8,4,14,AWAY,0.695637471516196
Tennessee,0,5,7,6,HOME,0.426627089308107
Georgia,0,11,1,17,AWAY,0.874561638333721
Alabama,0,12,0,31,AWAY,1
