opponent,result,win,loss,margin,location,opponent rating
FBS,1,7,103,36,HOME,0
Kent,1,2,10,28,HOME,0.142479028883439
C Michigan,1,1,11,1,AWAY,0.114538678518169
W Michigan,1,7,5,1,HOME,0.459438184960432
Notre Dame,0,12,0,8,AWAY,0.859257161828909
Indiana,0,5,7,28,AWAY,0.42068439849451
WKU,0,3,9,8,HOME,0.225490253750848
N Illinois,0,7,5,8,HOME,0.493830663904132
E Michigan,0,7,5,22,HOME,0.452918070401329
Ohio,0,8,4,38,AWAY,0.604651189021574
Toledo,0,7,5,32,AWAY,0.48529974991309
Miami OH,0,6,6,21,AWAY,0.463438676083699
