opponent,result,win,loss,margin,location,opponent rating
Troy,1,9,3,36,AWAY,0.562975209007154
Connecticut,1,1,11,55,HOME,0.0724481818665702
Wyoming,1,6,6,20,AWAY,0.421097951183814
Nevada,1,7,5,4,AWAY,0.44143343852476
Colorado St,1,3,9,28,HOME,0.167672426119417
Air Force,1,5,7,10,AWAY,0.421484803991916
BYU,1,6,6,5,HOME,0.469166607234911
Fresno St,1,10,2,7,HOME,0.693259648607032
New Mexico,1,3,9,31,AWAY,0.241012492935218
Utah St,1,10,2,9,HOME,0.665803721506592
Oklahoma St,0,6,6,23,AWAY,0.511059800655785
San Diego St,0,7,5,6,HOME,0.477646551055897
