opponent,result,win,loss,margin,location,opponent rating
Massachusetts,1,4,8,34,HOME,0.254246964781238
FBS,1,7,103,48,HOME,0
Wake Forest,1,6,6,7,AWAY,0.463806409847162
Temple,1,8,4,10,HOME,0.576212769137102
Louisville,1,2,10,18,HOME,0.223666974401294
Miami FL,1,7,5,13,HOME,0.531011139219348
Virginia Tech,1,5,6,10,AWAY,0.385837967824768
Purdue,0,6,6,17,AWAY,0.537934346189599
NC State,0,8,3,5,AWAY,0.63962001866875
Clemson,0,12,0,20,HOME,0.935729175792651
Florida St,0,5,7,1,AWAY,0.419840811871539
Syracuse,0,9,3,21,HOME,0.650093012626571
