opponent,result,win,loss,margin,location,opponent rating
Holy Cross,1,5,6,3,AWAY,0.447581958390751
William & Mary,0,4,6,7,HOME,0.39367305906766
Sacred Heart,0,7,4,16,HOME,0.494475275063854
Penn,0,6,4,17,AWAY,0.49292797065672
Villanova,0,5,6,42,AWAY,0.40972518241018
Colgate,0,10,2,24,HOME,0.716699906706961
Monmouth NJ,0,8,3,17,AWAY,0.575986353644047
Lafayette,0,3,8,2,HOME,0.186554929443329
Lehigh,0,3,8,28,AWAY,0.200609952628499
Georgetown,0,5,6,11,AWAY,0.346409010710573
Fordham,0,2,9,3,HOME,0.178666703534058
