opponent,result,win,loss,margin,location,opponent rating
UCLA,1,3,9,9,AWAY,0.282269089024105
Miami OH,1,6,6,21,HOME,0.463438676083699
FBS,1,7,103,56,HOME,0
Ohio,1,8,4,4,HOME,0.604651189021574
Connecticut,1,1,11,42,AWAY,0.0724481818665702
Tulane,1,6,6,16,HOME,0.41598389157235
SMU,1,5,7,6,AWAY,0.345738733150114
Navy,1,3,9,42,HOME,0.32517976716613
South Florida,1,7,5,12,HOME,0.435562746544617
East Carolina,1,3,8,50,HOME,0.258482711032695
Temple,0,8,4,7,AWAY,0.576212769137102
UCF,0,11,0,25,AWAY,0.815534352713237
