opponent,result,win,loss,margin,location,opponent rating
UAB,1,9,3,23,HOME,0.508906703560622
FBS,1,7,103,37,AWAY,0
ULL,1,7,5,2,AWAY,0.487715824102298
Massachusetts,1,4,8,11,AWAY,0.254246964781238
Georgia St,1,2,10,3,AWAY,0.20147479716368
South Carolina,0,6,5,34,AWAY,0.536986751200765
Troy,0,9,3,24,AWAY,0.562975209007154
ULM,0,6,6,25,HOME,0.366470678076782
Appalachian St,0,9,2,16,HOME,0.675199125702711
Arkansas St,0,8,4,28,HOME,0.546839088146101
Ga Southern,0,9,3,24,HOME,0.581896337902468
South Alabama,0,3,9,3,AWAY,0.208387587676124
