opponent,result,win,loss,margin,location,opponent rating
Robert Morris,1,2,9,21,HOME,0.13636632027954
Davidson,1,6,5,21,HOME,0.335355433582488
Valparaiso,1,2,9,33,HOME,0.215023215553795
Butler,1,4,7,10,AWAY,0.273243232039139
Morehead St,1,3,8,43,HOME,0.106471200910989
Jacksonville,1,2,8,27,AWAY,0.131763663200498
SE Missouri St,0,9,4,19,AWAY,0.626134854022889
Duquesne,0,9,4,5,AWAY,0.58722306717506
Marist,0,5,6,11,AWAY,0.362876269877956
San Diego,0,9,3,2,AWAY,0.561764684788889
Drake,0,7,4,11,HOME,0.488017077515837
