opponent,result,win,loss,margin,location,opponent rating
Lafayette,1,3,8,37,HOME,0.186554929443329
Cornell,1,3,7,17,HOME,0.402985543365569
Richmond,1,4,7,15,AWAY,0.341196304325913
Elon,1,6,5,12,HOME,0.593851598150718
New Hampshire,1,4,7,24,AWAY,0.441556491944851
Towson,1,7,5,4,HOME,0.622435329844367
Albany NY,1,3,8,5,AWAY,0.296855333085152
Rhode Island,0,6,5,2,HOME,0.534031103636382
N Dakota St,0,13,0,28,AWAY,1
Stony Brook,0,7,5,14,AWAY,0.604918512396653
Villanova,0,5,6,21,HOME,0.40972518241018
James Madison,0,9,4,14,AWAY,0.69545596858182
