opponent,result,win,loss,margin,location,opponent rating
Air Force,1,5,7,6,HOME,0.421484803991916
FBS,1,7,103,21,HOME,0
Old Dominion,1,4,8,19,HOME,0.25492557227299
Florida Intl,1,8,4,35,AWAY,0.479968713991793
WKU,1,3,9,19,HOME,0.225490253750848
Oklahoma,0,11,1,49,AWAY,0.762840202001647
UCF,0,11,0,20,AWAY,0.815534352713237
MTSU,0,8,4,1,AWAY,0.506042218687201
Marshall,0,8,3,24,AWAY,0.580430292344162
Louisiana Tech,0,7,5,8,HOME,0.441544415030343
North Texas,0,9,3,3,AWAY,0.563591552849468
Charlotte,0,5,7,3,HOME,0.331095022507577
