opponent,result,win,loss,margin,location,opponent rating
Old Dominion,1,4,8,8,AWAY,0.25492557227299
Massachusetts,1,4,8,39,HOME,0.254246964781238
FBS,1,7,103,46,HOME,0
MTSU,1,8,4,3,HOME,0.506042218687201
Rice,1,2,11,19,HOME,0.0927655080211597
WKU,1,3,9,21,AWAY,0.225490253750848
UT San Antonio,1,3,9,38,AWAY,0.165020683687992
Charlotte,1,5,7,7,AWAY,0.331095022507577
Indiana,0,5,7,10,HOME,0.42068439849451
Miami FL,0,7,5,14,AWAY,0.531011139219348
FL Atlantic,0,5,7,35,HOME,0.464408805279489
Marshall,0,8,3,3,HOME,0.580430292344162
