opponent,result,win,loss,margin,location,opponent rating
FBS,1,7,103,31,HOME,0
Massachusetts,1,4,8,21,HOME,0.254246964781238
Arkansas St,1,8,4,7,HOME,0.546839088146101
South Alabama,1,3,9,35,HOME,0.208387587676124
Texas St,1,3,9,2,AWAY,0.214759437661359
New Mexico St,1,3,9,17,AWAY,0.142283295654997
Appalachian St,1,9,2,20,HOME,0.675199125702711
Coastal Car,1,5,7,24,AWAY,0.31647250459456
Georgia St,1,2,10,21,AWAY,0.20147479716368
Clemson,0,12,0,31,AWAY,0.935729175792651
ULM,0,6,6,19,AWAY,0.366470678076782
Troy,0,9,3,14,HOME,0.562975209007154
