opponent,result,win,loss,margin,location,opponent rating
Marist,1,5,6,25,AWAY,0.362876269877956
Fordham,1,2,9,12,AWAY,0.178666703534058
Lafayette,1,3,8,7,AWAY,0.186554929443329
Lehigh,1,3,8,6,HOME,0.200609952628499
Bucknell,1,1,10,11,HOME,0.0801104986374995
Campbell,0,6,5,5,HOME,0.412021086124821
Dartmouth,0,9,1,41,AWAY,0.836605250248748
Columbia,0,6,4,8,HOME,0.531186129367917
Brown,0,1,9,28,AWAY,0.173291320379035
Colgate,0,10,2,38,AWAY,0.716699906706961
Holy Cross,0,5,6,1,HOME,0.447581958390751
