opponent,result,win,loss,margin,location,opponent rating
MS Valley St,1,1,10,71,HOME,0
Tennessee Tech,1,1,10,28,HOME,0.0559717261400101
Austin Peay,1,5,6,16,HOME,0.35822130428471
E Kentucky,1,7,4,49,AWAY,0.409112911923809
E Illinois,1,3,8,27,HOME,0.302269316398658
Murray St,1,5,6,27,AWAY,0.345911043672823
TN Martin,1,2,9,7,HOME,0.325698444211971
Tennessee St,1,4,5,27,AWAY,0.375007655373094
ETSU,1,8,4,7,HOME,0.500169868707172
NC A&T,0,9,2,3,NEUTRAL,0.660071853363717
SE Missouri St,0,9,4,23,AWAY,0.626134854022889
Kennesaw,0,11,2,8,NEUTRAL,0.7268407283624
Maine,0,10,3,28,AWAY,0.626096963700394
