opponent,result,win,loss,margin,location,opponent rating
Norfolk St,1,4,7,17,AWAY,0.294894821751457
Robert Morris,1,2,9,66,HOME,0.13636632027954
William & Mary,1,4,6,51,HOME,0.39367305906766
Richmond,1,4,7,53,AWAY,0.341196304325913
Villanova,1,5,6,37,AWAY,0.40972518241018
Stony Brook,1,7,5,3,HOME,0.604918512396653
Rhode Island,1,6,5,17,HOME,0.534031103636382
Towson,1,7,5,21,AWAY,0.622435329844367
Delaware,1,7,5,14,HOME,0.550424116869275
Elon,0,6,5,3,HOME,0.593851598150718
New Hampshire,0,4,7,11,AWAY,0.441556491944851
Colgate,0,10,2,3,AWAY,0.716699906706961
