opponent,result,win,loss,margin,location,opponent rating
C Michigan,1,1,11,24,AWAY,0.114538678518169
Rutgers,1,1,11,41,HOME,0.14662048402134
TCU,1,6,6,1,HOME,0.469804460206177
FBS,0,7,103,3,HOME,0
Baylor,0,6,6,19,AWAY,0.431861619327767
Oklahoma St,0,6,6,20,HOME,0.511059800655785
West Virginia,0,8,3,16,AWAY,0.683602073167671
Texas Tech,0,5,7,32,AWAY,0.434256997614163
Iowa St,0,7,4,24,HOME,0.582094297534045
Kansas St,0,5,7,4,AWAY,0.470736725790772
Oklahoma,0,11,1,15,AWAY,0.762840202001647
Texas,0,9,3,7,HOME,0.644098326389737
