opponent,result,win,loss,margin,location,opponent rating
Tennessee Tech,1,1,10,39,AWAY,0.0559717261400101
Alabama St,1,4,7,49,HOME,0.277159304858987
Samford,1,6,5,14,HOME,0.553967431575554
Presbyterian,1,2,8,56,HOME,0.103662770671833
Gardner Webb,1,3,8,39,AWAY,0.231192577268533
Charleston So,1,5,6,28,AWAY,0.353791416368976
Campbell,1,6,5,49,HOME,0.412021086124821
Monmouth NJ,1,8,3,37,AWAY,0.575986353644047
Jacksonville St,1,9,4,8,NEUTRAL,0.57824668396896
Wofford,1,9,4,3,HOME,0.620891604197645
S Dakota St,0,10,2,10,HOME,0.839739573139151
