opponent,result,win,loss,margin,location,opponent rating
C Michigan,1,1,11,15,HOME,0.114538678518169
Florida,1,9,3,11,AWAY,0.646500981411137
FBS,1,7,103,38,HOME,0
Mississippi St,1,8,4,21,HOME,0.695637471516196
South Carolina,1,6,5,14,HOME,0.536986751200765
Vanderbilt,1,6,6,7,HOME,0.536221903136869
Missouri,1,8,4,1,AWAY,0.708790850528775
MTSU,1,8,4,11,HOME,0.506042218687201
Louisville,1,2,10,46,AWAY,0.223666974401294
Texas A&M,0,8,4,6,AWAY,0.60781115063384
Georgia,0,11,1,17,HOME,0.874561638333721
Tennessee,0,5,7,17,AWAY,0.426627089308107
