opponent,result,win,loss,margin,location,opponent rating
Miami FL,1,7,5,16,NEUTRAL,0.531011139219348
FBS,1,7,103,31,HOME,0
Auburn,1,7,5,1,AWAY,0.593720560309067
Louisiana Tech,1,7,5,17,HOME,0.441544415030343
Mississippi,1,5,7,29,HOME,0.442291325902439
Georgia,1,11,1,20,HOME,0.874561638333721
Mississippi St,1,8,4,16,HOME,0.695637471516196
Arkansas,1,2,10,7,AWAY,0.271152769992629
Rice,1,2,11,32,HOME,0.0927655080211597
Florida,0,9,3,8,AWAY,0.646500981411137
Alabama,0,12,0,29,HOME,1
Texas A&M,0,8,4,2,AWAY,0.60781115063384
