opponent,result,win,loss,margin,location,opponent rating
Incarnate Word,1,6,5,6,HOME,0.571046307422287
Sam Houston St,1,6,5,18,HOME,0.457973347483668
SF Austin,1,2,8,7,AWAY,0.240349082207076
Cent Arkansas,1,6,5,14,AWAY,0.537173711197581
Houston Bap,1,1,10,29,HOME,0.0996422528646618
McNeese St,1,6,5,4,AWAY,0.428884787019381
Northwestern LA,0,5,6,1,HOME,0.453042551321635
SE Louisiana,0,4,7,6,HOME,0.387956190082207
Nicholls St,0,9,4,23,AWAY,0.66371529064276
Northern Iowa,0,7,6,3,AWAY,0.600993259192556
