opponent,result,win,loss,margin,location,opponent rating
South Alabama,1,3,9,4,AWAY,0.208387587676124
FBS,1,7,103,37,HOME,0
North Texas,1,9,3,2,AWAY,0.563591552849468
UT San Antonio,1,3,9,28,AWAY,0.165020683687992
UTEP,1,1,11,7,HOME,0.0101074505715901
FL Atlantic,1,5,7,8,AWAY,0.464408805279489
Rice,1,2,11,15,HOME,0.0927655080211597
LSU,0,9,3,17,AWAY,0.72228053621915
UAB,0,9,3,21,HOME,0.508906703560622
Mississippi St,0,8,4,42,AWAY,0.695637471516196
Southern Miss,0,6,5,1,AWAY,0.350273368238856
WKU,0,3,9,15,HOME,0.225490253750848
