opponent,result,win,loss,margin,location,opponent rating
FBS,1,7,103,48,HOME,0
Charlotte,1,5,7,18,HOME,0.331095022507577
Connecticut,1,1,11,5,AWAY,0.0724481818665702
Liberty,1,5,6,3,HOME,0.327960571678798
Boston College,0,7,5,34,AWAY,0.572210573355629
Ga Southern,0,9,3,21,AWAY,0.581896337902468
Florida Intl,0,8,4,39,AWAY,0.479968713991793
Ohio,0,8,4,16,AWAY,0.604651189021574
South Florida,0,7,5,16,HOME,0.435562746544617
Coastal Car,0,5,7,11,HOME,0.31647250459456
BYU,0,6,6,19,HOME,0.469166607234911
Georgia,0,11,1,39,AWAY,0.874561638333721
