opponent,result,win,loss,margin,location,opponent rating
Texas Tech,1,5,7,20,NEUTRAL,0.434256997614163
FBS,1,7,103,35,HOME,0
Kent,1,2,10,21,HOME,0.142479028883439
ULM,1,6,6,49,HOME,0.366470678076782
Arkansas,1,2,10,4,AWAY,0.271152769992629
Alabama,0,12,0,55,HOME,1
LSU,0,9,3,29,AWAY,0.72228053621915
Auburn,0,7,5,15,HOME,0.593720560309067
South Carolina,0,6,5,4,HOME,0.536986751200765
Texas A&M,0,8,4,14,AWAY,0.60781115063384
Vanderbilt,0,6,6,7,AWAY,0.536221903136869
Mississippi St,0,8,4,32,HOME,0.695637471516196
