opponent,result,win,loss,margin,location,opponent rating
W Illinois,1,5,6,3,HOME,0.523754928148861
Wagner,1,4,7,23,HOME,0.245251748166851
Portland St,1,4,7,20,AWAY,0.397723166588066
Idaho,1,4,7,1,HOME,0.440469886316267
Cal Poly,1,5,6,7,HOME,0.445409159119536
N Colorado,1,2,9,28,HOME,0.221411133900856
Montana,1,6,5,4,AWAY,0.517185850943964
Incarnate Word,1,6,5,21,HOME,0.571046307422287
S Dakota St,0,10,2,31,AWAY,0.839739573139151
E Washington,0,11,2,17,HOME,0.807202931601038
Weber St,0,10,3,10,AWAY,0.660326202303081
Idaho St,0,6,5,7,AWAY,0.518989604239761
N Dakota St,0,13,0,42,AWAY,1
