opponent,result,win,loss,margin,location,opponent rating
TN Martin,1,2,9,7,HOME,0.325698444211971
E Illinois,1,3,8,7,AWAY,0.302269316398658
Tennessee St,1,4,5,24,HOME,0.375007655373094
E Kentucky,1,7,4,28,AWAY,0.409112911923809
SE Missouri St,1,9,4,2,HOME,0.626134854022889
S Illinois,0,2,9,39,HOME,0.364120568864335
Cent Arkansas,0,6,5,13,AWAY,0.537173711197581
Jacksonville St,0,9,4,27,HOME,0.57824668396896
Tennessee Tech,0,1,10,3,AWAY,0.0559717261400101
Austin Peay,0,5,6,25,AWAY,0.35822130428471
