opponent,result,win,loss,margin,location,opponent rating
Northern Arizona,1,4,6,28,HOME,0.298478051505308
Southern Utah,1,1,10,3,AWAY,0.231412677422658
McNeese St,0,6,5,3,HOME,0.428884787019381
South Dakota,0,4,7,15,AWAY,0.438658211188727
CS Sacramento,0,2,8,3,HOME,0.179968633038041
Weber St,0,10,3,17,AWAY,0.660326202303081
North Dakota,0,6,5,25,HOME,0.498157544689485
UC Davis,0,10,3,13,HOME,0.703728133749806
Portland St,0,4,7,21,AWAY,0.397723166588066
E Washington,0,11,2,35,HOME,0.807202931601038
Montana St,0,8,5,28,AWAY,0.557205949409302
