opponent,result,win,loss,margin,location,opponent rating
FBS,1,7,103,11,HOME,0
Georgia St,1,2,10,34,HOME,0.20147479716368
Marshall,1,8,3,17,AWAY,0.580430292344162
Virginia,1,7,5,14,HOME,0.516078934477383
Boston College,1,7,5,5,HOME,0.572210573355629
Florida St,1,5,7,19,HOME,0.419840811871539
Louisville,1,2,10,42,AWAY,0.223666974401294
North Carolina,1,2,9,6,AWAY,0.260103629746808
Clemson,0,12,0,34,AWAY,0.935729175792651
Syracuse,0,9,3,10,AWAY,0.650093012626571
Wake Forest,0,6,6,4,HOME,0.463806409847162
