opponent,result,win,loss,margin,location,opponent rating
Virginia Tech,1,5,6,14,HOME,0.385837967824768
WKU,1,3,9,3,AWAY,0.225490253750848
North Texas,1,9,3,3,HOME,0.563591552849468
FBS,1,7,103,63,HOME,0
Liberty,0,5,6,42,AWAY,0.327960571678798
Florida Intl,0,8,4,8,HOME,0.479968713991793
Charlotte,0,5,7,3,AWAY,0.331095022507577
East Carolina,0,3,8,2,AWAY,0.258482711032695
FL Atlantic,0,5,7,19,AWAY,0.464408805279489
Marshall,0,8,3,22,HOME,0.580430292344162
MTSU,0,8,4,34,HOME,0.506042218687201
Rice,0,2,11,14,AWAY,0.0927655080211597
