opponent,result,win,loss,margin,location,opponent rating
Boston College,1,7,5,17,HOME,0.572210573355629
Nebraska,1,4,8,14,AWAY,0.412968926754821
Illinois,1,4,8,39,AWAY,0.252932074909808
Ohio St,1,11,1,29,HOME,0.768853929712638
Iowa,1,8,4,2,HOME,0.643519453764994
Indiana,1,5,7,7,AWAY,0.42068439849451
Northwestern,0,8,4,4,HOME,0.581712509235264
E Michigan,0,7,5,1,HOME,0.452918070401329
Missouri,0,8,4,3,HOME,0.708790850528775
Michigan St,0,7,5,10,AWAY,0.54056336082308
Minnesota,0,6,6,31,AWAY,0.456406988141515
Wisconsin,0,7,5,3,HOME,0.526905620713481
