opponent,result,win,loss,margin,location,opponent rating
FBS,1,7,103,3,HOME,0
Old Dominion,1,4,8,14,HOME,0.25492557227299
Houston,0,8,4,18,HOME,0.527775711043032
Hawaii,0,8,5,14,AWAY,0.423604217358159
Southern Miss,0,6,5,18,AWAY,0.350273368238856
Wake Forest,0,6,6,32,AWAY,0.463806409847162
UT San Antonio,0,3,9,17,HOME,0.165020683687992
UAB,0,9,3,42,HOME,0.508906703560622
Florida Intl,0,8,4,19,AWAY,0.479968713991793
North Texas,0,9,3,24,AWAY,0.563591552849468
UTEP,0,1,11,8,HOME,0.0101074505715901
Louisiana Tech,0,7,5,15,AWAY,0.441544415030343
LSU,0,9,3,32,AWAY,0.72228053621915
