opponent,result,win,loss,margin,location,opponent rating
Montana St,1,8,5,31,HOME,0.557205949409302
Ark Pine Bluff,1,2,9,84,HOME,0.26322408642619
Indiana St,1,7,4,3,HOME,0.544006286650676
Youngstown St,1,4,7,29,HOME,0.466253991274404
Illinois St,1,6,5,10,AWAY,0.534185507395372
Missouri St,1,4,7,52,HOME,0.385155462251605
S Illinois,1,2,9,19,AWAY,0.364120568864335
South Dakota,1,4,7,22,HOME,0.438658211188727
Duquesne,1,9,4,45,HOME,0.58722306717506
Kennesaw,1,11,2,10,AWAY,0.7268407283624
N Dakota St,0,13,0,4,AWAY,1
Northern Iowa,0,7,6,15,AWAY,0.600993259192556
