opponent,result,win,loss,margin,location,opponent rating
Prairie View,1,5,6,9,HOME,0.501357935154557
Cent Arkansas,1,6,5,3,HOME,0.537173711197581
SF Austin,1,2,8,33,NEUTRAL,0.240349082207076
Northwestern LA,1,5,6,14,AWAY,0.453042551321635
SE Louisiana,1,4,7,3,HOME,0.387956190082207
Houston Bap,1,1,10,22,AWAY,0.0996422528646618
North Dakota,0,6,5,1,HOME,0.498157544689485
Nicholls St,0,9,4,20,AWAY,0.66371529064276
Lamar,0,7,5,18,AWAY,0.513826681648668
Incarnate Word,0,6,5,17,AWAY,0.571046307422287
Abilene Chr,0,6,5,7,HOME,0.479500465988307
