opponent,result,win,loss,margin,location,opponent rating
UNLV,1,4,8,13,HOME,0.245661928174655
FBS,0,7,103,6,HOME,0
Washington St,0,10,2,31,AWAY,0.670802487333441
Oregon,0,8,4,13,AWAY,0.504878437524019
Hawaii,0,8,5,3,HOME,0.423604217358159
Colorado St,0,3,9,12,HOME,0.167672426119417
Army,0,9,2,49,HOME,0.590035738811524
San Diego St,0,7,5,3,AWAY,0.477646551055897
Wyoming,0,6,6,15,AWAY,0.421097951183814
Utah St,0,10,2,38,AWAY,0.665803721506592
Nevada,0,7,5,9,HOME,0.44143343852476
Fresno St,0,10,2,18,AWAY,0.693259648607032
