opponent,result,win,loss,margin,location,opponent rating
Texas St,1,3,9,10,HOME,0.214759437661359
FBS,1,7,103,38,HOME,0
Coastal Car,1,5,7,3,HOME,0.31647250459456
Louisiana Tech,0,7,5,4,HOME,0.441544415030343
Oklahoma St,0,6,6,42,AWAY,0.511059800655785
Memphis,0,8,4,17,AWAY,0.572183215691619
Appalachian St,0,9,2,45,AWAY,0.675199125702711
Ga Southern,0,9,3,35,AWAY,0.581896337902468
Troy,0,9,3,21,HOME,0.562975209007154
Arkansas St,0,8,4,24,AWAY,0.546839088146101
ULM,0,6,6,28,HOME,0.366470678076782
ULL,0,7,5,10,AWAY,0.487715824102298
