opponent,result,win,loss,margin,location,opponent rating
FBS,1,7,103,48,HOME,0
SMU,1,5,7,30,AWAY,0.345738733150114
Iowa St,1,7,4,3,HOME,0.582094297534045
Kansas St,1,5,7,1,HOME,0.470736725790772
Baylor,1,6,6,7,AWAY,0.431861619327767
Oklahoma St,1,6,6,7,HOME,0.511059800655785
Ohio St,0,11,1,12,HOME,0.768853929712638
Texas,0,9,3,15,AWAY,0.644098326389737
Texas Tech,0,5,7,3,HOME,0.434256997614163
Oklahoma,0,11,1,25,HOME,0.762840202001647
Kansas,0,3,9,1,AWAY,0.225652558919009
West Virginia,0,8,3,37,AWAY,0.683602073167671
