opponent,result,win,loss,margin,location,opponent rating
Tulsa,1,3,9,7,HOME,0.254788875736296
USC,1,5,7,23,HOME,0.441600278939324
TCU,1,6,6,15,HOME,0.469804460206177
Kansas St,1,5,7,5,AWAY,0.470736725790772
Oklahoma,1,11,1,3,NEUTRAL,0.762840202001647
Baylor,1,6,6,6,HOME,0.431861619327767
Texas Tech,1,5,7,7,AWAY,0.434256997614163
Iowa St,1,7,4,14,HOME,0.582094297534045
Kansas,1,3,9,7,AWAY,0.225652558919009
Maryland,0,5,7,5,AWAY,0.459625516682262
Oklahoma St,0,6,6,3,AWAY,0.511059800655785
West Virginia,0,8,3,1,HOME,0.683602073167671
