opponent,result,win,loss,margin,location,opponent rating
FBS,1,7,103,63,HOME,0
Nevada,1,7,5,19,HOME,0.44143343852476
Bowling Green,1,3,9,16,HOME,0.148914903414723
W Michigan,1,7,5,27,AWAY,0.459438184960432
Ball St,1,4,8,32,HOME,0.198506919527138
Kent,1,2,10,22,AWAY,0.142479028883439
C Michigan,1,1,11,38,HOME,0.114538678518169
Miami FL,0,7,5,25,HOME,0.531011139219348
Fresno St,0,10,2,22,AWAY,0.693259648607032
E Michigan,0,7,5,2,AWAY,0.452918070401329
Buffalo,0,10,2,14,HOME,0.572414579168689
N Illinois,0,7,5,23,AWAY,0.493830663904132
