opponent,result,win,loss,margin,location,opponent rating
Morgan St,1,4,7,26,AWAY,0.359461438541068
Villanova,1,5,6,10,AWAY,0.40972518241018
Citadel,1,5,6,17,HOME,0.496197791859472
Stony Brook,1,7,5,24,HOME,0.604918512396653
William & Mary,1,4,6,16,HOME,0.39367305906766
Albany NY,1,3,8,28,AWAY,0.296855333085152
Elon,1,6,5,31,AWAY,0.593851598150718
Delaware,0,7,5,4,AWAY,0.550424116869275
Maine,0,10,3,7,HOME,0.626096963700394
James Madison,0,9,4,21,HOME,0.69545596858182
Duquesne,0,9,4,21,HOME,0.58722306717506
