opponent,result,win,loss,margin,location,opponent rating
FBS,1,7,103,25,HOME,0
Memphis,1,8,4,16,HOME,0.572183215691619
Tulsa,1,3,9,7,AWAY,0.254788875736296
South Florida,1,7,5,26,AWAY,0.435562746544617
East Carolina,1,3,8,6,HOME,0.258482711032695
Navy,1,3,9,1,HOME,0.32517976716613
Wake Forest,0,6,6,6,HOME,0.463806409847162
UAB,0,9,3,7,AWAY,0.508906703560622
Ohio St,0,11,1,43,AWAY,0.768853929712638
Cincinnati,0,10,2,16,AWAY,0.661691621120456
SMU,0,5,7,4,HOME,0.345738733150114
Houston,0,8,4,31,AWAY,0.527775711043032
