opponent,result,win,loss,margin,location,opponent rating
FBS,1,7,103,11,HOME,0
Connecticut,1,1,11,30,HOME,0.0724481818665702
SMU,1,5,7,3,HOME,0.345738733150114
Texas,0,9,3,7,AWAY,0.644098326389737
Arkansas St,0,8,4,9,HOME,0.546839088146101
Temple,0,8,4,14,AWAY,0.576212769137102
Houston,0,8,4,15,AWAY,0.527775711043032
South Florida,0,7,5,1,HOME,0.435562746544617
Arkansas,0,2,10,23,AWAY,0.271152769992629
Tulane,0,6,6,7,HOME,0.41598389157235
Memphis,0,8,4,26,AWAY,0.572183215691619
Navy,0,3,9,8,AWAY,0.32517976716613
