opponent,result,win,loss,margin,location,opponent rating
San Diego,1,9,3,33,HOME,0.561764684788889
Idaho,1,4,7,23,HOME,0.440469886316267
N Colorado,1,2,9,13,AWAY,0.221411133900856
Idaho St,1,6,5,7,HOME,0.518989604239761
Cal Poly,1,5,6,42,AWAY,0.445409159119536
Montana,1,6,5,28,AWAY,0.517185850943964
Northern Arizona,1,4,6,22,HOME,0.298478051505308
CS Sacramento,1,2,8,43,HOME,0.179968633038041
Northern Iowa,1,7,6,7,HOME,0.600993259192556
E Washington,0,11,2,39,AWAY,0.807202931601038
E Washington,0,11,2,5,AWAY,0.807202931601038
