opponent,result,win,loss,margin,location,opponent rating
California,1,7,4,30,AWAY,0.437839844873698
Arizona,1,5,7,1,HOME,0.429437883963719
USC,1,5,7,7,HOME,0.441600278939324
Cincinnati,0,10,2,9,HOME,0.661691621120456
Oklahoma,0,11,1,28,AWAY,0.762840202001647
Fresno St,0,10,2,24,HOME,0.693259648607032
Colorado,0,5,7,22,AWAY,0.351175682184439
Washington,0,9,3,7,HOME,0.666656511027918
Utah,0,9,3,31,HOME,0.65995278082548
Oregon,0,8,4,21,AWAY,0.504878437524019
Arizona St,0,7,5,3,AWAY,0.543429014078984
Stanford,0,7,4,7,HOME,0.593038410318982
