opponent,result,win,loss,margin,location,opponent rating
FBS,1,7,103,32,HOME,0
Texas St,1,3,9,15,AWAY,0.214759437661359
New Mexico St,1,3,9,28,HOME,0.142283295654997
Arkansas St,1,8,4,4,HOME,0.546839088146101
Georgia St,1,2,10,14,HOME,0.20147479716368
South Alabama,1,3,9,10,HOME,0.208387587676124
ULM,1,6,6,3,AWAY,0.366470678076782
Mississippi St,0,8,4,46,AWAY,0.695637471516196
Coastal Car,0,5,7,2,HOME,0.31647250459456
Alabama,0,12,0,42,AWAY,1
Appalachian St,0,9,2,10,AWAY,0.675199125702711
Troy,0,9,3,10,AWAY,0.562975209007154
