opponent,result,win,loss,margin,location,opponent rating
FBS,1,7,103,3,HOME,0
Southern Miss,1,6,5,1,AWAY,0.350273368238856
Coastal Car,1,5,7,25,AWAY,0.31647250459456
Texas St,1,3,9,6,HOME,0.214759437661359
Ga Southern,1,9,3,19,HOME,0.581896337902468
South Alabama,1,3,9,28,AWAY,0.208387587676124
Texas A&M,0,8,4,38,AWAY,0.60781115063384
Troy,0,9,3,8,HOME,0.562975209007154
Georgia St,0,2,10,32,AWAY,0.20147479716368
Mississippi,0,5,7,49,AWAY,0.442291325902439
Arkansas St,0,8,4,14,AWAY,0.546839088146101
ULL,0,7,5,3,HOME,0.487715824102298
