opponent,result,win,loss,margin,location,opponent rating
UNLV,1,4,8,22,HOME,0.245661928174655
Washington St,1,10,2,3,HOME,0.670802487333441
Arizona,1,5,7,4,AWAY,0.429437883963719
Colorado,1,5,7,11,HOME,0.351175682184439
Oregon St,1,2,10,17,AWAY,0.174579496694516
Stanford,0,7,4,14,AWAY,0.593038410318982
Texas,0,9,3,23,AWAY,0.644098326389737
Utah,0,9,3,13,AWAY,0.65995278082548
Arizona St,0,7,5,3,HOME,0.543429014078984
California,0,7,4,1,HOME,0.437839844873698
UCLA,0,3,9,7,AWAY,0.282269089024105
Notre Dame,0,12,0,7,HOME,0.859257161828909
