opponent,result,win,loss,margin,location,opponent rating
New Mexico St,1,3,9,47,HOME,0.142283295654997
FBS,1,7,103,61,HOME,0
Air Force,1,5,7,10,HOME,0.421484803991916
BYU,1,6,6,25,AWAY,0.469166607234911
UNLV,1,4,8,31,HOME,0.245661928174655
Wyoming,1,6,6,8,AWAY,0.421097951183814
New Mexico,1,3,9,42,HOME,0.241012492935218
Hawaii,1,8,5,39,AWAY,0.423604217358159
San Jose St,1,1,11,38,HOME,0.163153436845266
Colorado St,1,3,9,5,AWAY,0.167672426119417
Michigan St,0,7,5,7,AWAY,0.54056336082308
Boise St,0,10,2,9,AWAY,0.673169611590466
