opponent,result,win,loss,margin,location,opponent rating
FBS,1,7,103,31,HOME,0
N Illinois,1,7,5,11,AWAY,0.493830663904132
Stanford,1,7,4,19,AWAY,0.593038410318982
Arizona,1,5,7,32,HOME,0.429437883963719
USC,1,5,7,13,HOME,0.441600278939324
UCLA,1,3,9,31,AWAY,0.282269089024105
Oregon,1,8,4,7,HOME,0.504878437524019
Colorado,1,5,7,23,AWAY,0.351175682184439
BYU,1,6,6,8,HOME,0.469166607234911
Washington,0,9,3,14,HOME,0.666656511027918
Washington St,0,10,2,4,AWAY,0.670802487333441
Arizona St,0,7,5,18,AWAY,0.543429014078984
