opponent,result,win,loss,margin,location,opponent rating
MTSU,1,8,4,28,HOME,0.506042218687201
Nevada,1,7,5,31,HOME,0.44143343852476
FBS,1,7,103,4,HOME,0
Arkansas,1,2,10,14,AWAY,0.271152769992629
Mississippi,1,5,7,7,HOME,0.442291325902439
Tennessee,1,5,7,25,HOME,0.426627089308107
Notre Dame,0,12,0,5,AWAY,0.859257161828909
South Carolina,0,6,5,23,HOME,0.536986751200765
Georgia,0,11,1,28,AWAY,0.874561638333721
Florida,0,9,3,10,HOME,0.646500981411137
Kentucky,0,9,3,7,AWAY,0.658780584665737
Missouri,0,8,4,5,AWAY,0.708790850528775
