opponent,result,win,loss,margin,location,opponent rating
FBS,1,7,103,29,HOME,0
Ohio,1,8,4,14,NEUTRAL,0.604651189021574
Louisville,1,2,10,24,HOME,0.223666974401294
Miami FL,1,7,5,3,HOME,0.531011139219348
Duke,1,7,5,14,AWAY,0.509262469121149
North Carolina,1,2,9,10,HOME,0.260103629746808
Liberty,1,5,6,21,HOME,0.327960571678798
Indiana,0,5,7,4,AWAY,0.42068439849451
NC State,0,8,3,14,AWAY,0.63962001866875
Pittsburgh,0,7,5,10,HOME,0.535438146571466
Georgia Tech,0,7,5,3,AWAY,0.516615419776849
Virginia Tech,0,5,6,3,AWAY,0.385837967824768
