opponent,result,win,loss,margin,location,opponent rating
FBS,1,7,103,68,HOME,0
Georgia St,1,2,10,19,AWAY,0.20147479716368
Miami OH,1,6,6,1,AWAY,0.463438676083699
E Michigan,1,7,5,3,HOME,0.452918070401329
Bowling Green,1,3,9,7,AWAY,0.148914903414723
C Michigan,1,1,11,25,AWAY,0.114538678518169
N Illinois,1,7,5,7,HOME,0.493830663904132
Syracuse,0,9,3,13,HOME,0.650093012626571
Michigan,0,10,2,46,AWAY,0.812987780667157
Toledo,0,7,5,27,HOME,0.48529974991309
Ohio,0,8,4,45,HOME,0.604651189021574
Ball St,0,4,8,1,AWAY,0.198506919527138
