opponent,result,win,loss,margin,location,opponent rating
Tulane,1,6,6,6,AWAY,0.41598389157235
FBS,1,7,103,31,HOME,0
Rice,1,2,11,32,HOME,0.0927655080211597
Louisville,1,2,10,21,AWAY,0.223666974401294
NC State,1,8,3,4,AWAY,0.63962001866875
Duke,1,7,5,52,AWAY,0.509262469121149
Boston College,0,7,5,7,HOME,0.572210573355629
Notre Dame,0,12,0,29,HOME,0.859257161828909
Clemson,0,12,0,60,HOME,0.935729175792651
Florida St,0,5,7,21,AWAY,0.419840811871539
Syracuse,0,9,3,17,HOME,0.650093012626571
Pittsburgh,0,7,5,21,HOME,0.535438146571466
