opponent,result,win,loss,margin,location,opponent rating
Wyoming,1,6,6,22,AWAY,0.421097951183814
San Jose St,1,1,11,31,HOME,0.163153436845266
FBS,1,7,103,35,HOME,0
Utah,1,9,3,4,HOME,0.65995278082548
Oregon St,1,2,10,19,AWAY,0.174579496694516
Oregon,1,8,4,14,HOME,0.504878437524019
Stanford,1,7,4,3,AWAY,0.593038410318982
California,1,7,4,6,HOME,0.437839844873698
Colorado,1,5,7,24,AWAY,0.351175682184439
Arizona,1,5,7,41,HOME,0.429437883963719
USC,0,5,7,3,AWAY,0.441600278939324
Washington,0,9,3,13,HOME,0.666656511027918
