opponent,result,win,loss,margin,location,opponent rating
FBS,1,7,103,42,HOME,0
Utah,1,9,3,14,AWAY,0.65995278082548
Arizona St,1,7,5,7,HOME,0.543429014078984
BYU,1,6,6,28,HOME,0.469166607234911
UCLA,1,3,9,7,AWAY,0.282269089024105
Colorado,1,5,7,14,HOME,0.351175682184439
Stanford,1,7,4,4,HOME,0.593038410318982
Oregon St,1,2,10,19,HOME,0.174579496694516
Washington St,1,10,2,13,AWAY,0.670802487333441
Auburn,0,7,5,5,NEUTRAL,0.593720560309067
Oregon,0,8,4,3,AWAY,0.504878437524019
California,0,7,4,2,AWAY,0.437839844873698
