opponent,result,win,loss,margin,location,opponent rating
Cal Poly,1,5,6,7,AWAY,0.445409159119536
South Dakota,1,4,7,17,HOME,0.438658211188727
N Colorado,1,2,9,17,HOME,0.221411133900856
E Washington,1,11,2,8,HOME,0.807202931601038
Montana St,1,8,5,10,HOME,0.557205949409302
North Dakota,1,6,5,5,AWAY,0.498157544689485
CS Sacramento,1,2,8,12,HOME,0.179968633038041
Southern Utah,1,1,10,13,AWAY,0.231412677422658
Idaho St,1,6,5,13,AWAY,0.518989604239761
SE Missouri St,1,9,4,25,HOME,0.626134854022889
Northern Arizona,0,4,6,4,AWAY,0.298478051505308
Maine,0,10,3,5,HOME,0.626096963700394
