opponent,result,win,loss,margin,location,opponent rating
WKU,1,3,9,31,HOME,0.225490253750848
New Mexico,1,3,9,31,HOME,0.241012492935218
Iowa,1,8,4,11,AWAY,0.643519453764994
Nebraska,1,4,8,17,HOME,0.412968926754821
Illinois,1,4,8,29,HOME,0.252932074909808
Rutgers,1,1,11,14,HOME,0.14662048402134
Purdue,1,6,6,3,AWAY,0.537934346189599
BYU,0,6,6,3,HOME,0.469166607234911
Michigan,0,10,2,25,AWAY,0.812987780667157
Northwestern,0,8,4,14,AWAY,0.581712509235264
Penn St,0,9,3,12,AWAY,0.691375922866113
Minnesota,0,6,6,22,HOME,0.456406988141515
