rank,team,winpercentage,rating,averageMOV,averageMOL,conference,rawRank
1,Carolina,0.6,-4.54576031614409,6.66666666666667,6.5,NFC South,-4.54576031617931
2,Houston,0.5,-6.17795613987574,4.33333333333333,5,AFC South,-6.17795613992355
3,Dallas,0.5,-6.42502295528685,14,7.33333333333333,NFC East,-6.42502295533637
4,Philadelphia,0.5,-6.43115316236115,10.3333333333333,3.66666666666667,NFC East,-6.43115316241061
5,Atlanta,0.333333333333333,-6.64741329251881,6,9.25,NFC South,-6.64741329256974
6,San Francisco,0.166666666666667,-6.68206357656204,3,6.8,NFC West,-6.68206357661264
7,NY Giants,0.166666666666667,-6.7807107018183,5,10,NFC East,-6.78071070186853
8,Cincinnati,0.666666666666667,-7.73180036031258,8.25,8.5,AFC North,-7.7318003603749
9,Minnesota,0.666666666666667,-7.83934973623294,5,14,NFC North,-7.83934973629468
10,Seattle,0.5,-7.87693311675029,12.6666666666667,4,NFC West,-7.87693311681313
11,Kansas City,0.833333333333333,-7.90112865863814,9.2,3,AFC West,-7.90112865870324
12,Tennessee,0.5,-7.94932969382548,3,9.66666666666667,AFC South,-7.94932969388918
13,Chicago,0.6,-7.96842824401925,15.6666666666667,2,NFC North,-7.968428244084
14,Indianapolis,0.166666666666667,-8.2708040291182,12,8,AFC South,-8.27080402918111
15,Pittsburgh,0.666666666666667,-8.2816187642447,8.5,8.5,AFC North,-8.28161876431192
16,Detroit,0.4,-8.33329995427198,12,12,NFC North,-8.33329995433688
17,Tampa Bay,0.4,-8.40083849231089,7,15.3333333333333,NFC South,-8.40083849237631
18,Miami,0.666666666666667,-8.55377816100753,6.5,20.5,AFC East,-8.55377816107628
19,Green Bay,0.5,-8.68840441421925,8.66666666666667,7.33333333333333,NFC North,-8.68840441428651
20,Denver,0.333333333333333,-8.75338378052244,2,9.5,AFC West,-8.75338378059081
21,New Orleans,0.8,-8.86835129196035,12,8,NFC South,-8.86835129203076
22,Cleveland,0.333333333333333,-8.8898355315849,3.5,7.5,AFC North,-8.88983553165507
23,New England,0.666666666666667,-9.0655790919213,13.75,13.5,AFC East,-9.0655790919937
24,LA Rams,1,-9.44004610222819,13,0,NFC West,-9.44004610230666
25,Jacksonville,0.5,-9.4929982159251,11.6666666666667,17.3333333333333,AFC South,-9.49299821599952
26,Oakland,0.166666666666667,-9.59685205259392,3,13.8,AFC West,-9.59685205266924
27,Arizona,0.166666666666667,-9.64509138788213,10,13.4,NFC West,-9.64509138795624
28,LA Chargers,0.666666666666667,-9.87787835249692,13.25,11,AFC West,-9.87787835257713
29,Washington,0.6,-9.98649271799048,12.6666666666667,18,NFC East,-9.9864927180682
30,NY Jets,0.5,-10.3630204247905,19,10.3333333333333,AFC East,-10.3630204248719
31,Baltimore,0.666666666666667,-11.5844359220045,22.5,7,AFC North,-11.5844359220988
32,Buffalo,0.333333333333333,-11.9859936434132,11,21,AFC East,-11.9859936435061
